,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2000-01-31,133189.80747208488,102015.35953165861,74925.430341926,106792.31884467647,202222.42548776563,169960.9631132664,167759.19148927552,129844.98868322454,102186.03512706528,88271.31403295897,189694.3211974878,91500.76783987871,105909.56315797502,85112.50322179425,101673.7488814184,79178.80212835594,76968.43440015546,91469.82124568676,190256.93027558937,126720.22754122934,94669.49730169428,104524.93513287936,111156.43636402591,91962.99982204971,,,101684.57826872873,,103834.68638676828,106063.42228001724,127433.63890611986,,169804.97477083575,79070.42546801649,87417.95169611085,69180.69799825115,130081.34734997402,90290.1007036594,138513.4803433986,118459.09518659215,,92186.92827403918,103696.31009142853,163506.08318072418,108288.80847052163,115301.21361656094,148946.46180508364,114840.43485585082,77002.35087321559,
2000-02-29,133384.7560703995,102176.67908054718,75000.21173309296,106899.02122573854,202874.73336525593,170313.19763769483,168428.7939597476,129983.4864484474,102357.05766759216,89010.69624331566,189410.20257969332,91671.19647882716,105774.84728437026,85174.71659414089,101709.31054283377,79158.8512289527,77010.92777446775,91537.1740594571,190858.78720899764,126751.21768212014,94957.71775126577,104519.30195327381,111506.42805210443,92036.8724469901,,,101791.99915621891,,103966.1255255163,106404.82897904239,127644.55020480705,,170024.0328742304,79341.66847719488,87532.26471125682,69230.62933018194,130256.18479926881,90516.22286812308,139019.63810817697,118663.70798124644,,92253.18330003752,103812.05349926942,163565.19174073043,108542.97770780709,115486.5409239288,149109.488634668,114858.61697977796,77084.02410657382,
2000-03-31,133589.71674944126,102317.53666055408,75131.61969081433,107090.39758664533,203733.6565952595,170692.5913032073,169007.33335019133,130237.9757122792,102586.76852356516,89195.95094155117,189586.1945082891,91832.44760558245,105717.795354251,85304.73604531506,97035.61688239366,79174.5550085196,77112.89160093629,91624.81045491711,191547.37036537103,126925.69466935295,95290.48805709383,104644.15665021747,111891.27192124426,92189.59069182836,,,101954.12103853418,,104171.47380084619,106853.24760654286,127937.41767354759,,170324.0838594536,79584.8228195557,87654.49108231011,69315.889672822,130426.91882547796,90717.96923786424,139608.1450993728,118860.9907244982,,92324.01642223573,103911.32369426114,163700.31980606046,108817.9298466006,115724.37081519698,149300.40554057216,114990.8683934701,77143.00502277559,
2000-04-30,133870.38208208824,101261.01441705899,75377.31288644031,107501.89308855523,205654.7381309945,171610.45360860223,170145.09693988244,130875.50878236268,103056.97502395323,89554.41527142191,189899.73378935628,92195.8845549484,105683.88670681462,85633.50002578902,97280.39320050567,79194.91651433014,77281.79598527546,91745.9168876416,193097.13817782002,127282.29098670837,95946.34638909582,104926.70031672089,112805.21202951575,92491.30660484853,,,107091.65736834506,,104568.86971671127,107657.63589535328,128667.15111217074,,170977.08520234644,80111.25662431295,87938.8173192519,69496.36651123213,130849.49794904803,91138.17614797194,140761.82139427526,119637.2442747246,,92482.41643474769,104119.9194761427,164052.39493558757,109354.4037638655,116321.66575692833,149692.35178177696,115149.97352387992,77278.71155665611,
2000-05-31,134251.18778786893,101589.10667490674,75651.04613139713,108024.14036157323,207906.0733503206,172760.48533488455,171147.22262857773,131883.37690300768,103597.10649842414,89992.14562864153,190849.30852764417,92574.32866989716,105923.71884494572,85993.69082885291,97577.6103077781,79342.38414322144,77481.61465737483,91901.45458879002,194975.03470457703,127848.82503071957,96577.65272725793,105419.40696485912,113780.83396448009,92870.27491897887,,,107480.23935433677,,105019.54199979793,108525.6613008088,129516.10782021408,,171643.52602628575,80620.13158225591,88290.04280111902,69748.79206826216,131333.71039361594,91476.16447106372,141650.85379016137,120270.39671062115,,92684.39596025611,104258.03926594785,170204.20292177517,109904.3794795087,116974.73078332424,145653.01243909565,115537.50034342203,77377.59564038362,
2000-06-30,134561.71297976514,101948.9093486281,75837.87077487426,108548.68296011993,210546.19286503372,174159.68463172653,172310.488135347,133122.53041984822,104140.62398007225,90421.552508755,192069.24434076683,92940.23117401938,106284.35086157406,86391.85212466812,97888.26990932126,79599.78948888408,77688.70898593769,92025.97818147604,196996.61003705568,128483.2932673351,97198.7209697308,105956.89052963284,114850.06110982788,93041.7062610282,,,107866.32638434357,,105410.99267889798,109383.6361850022,130492.90473540605,,172281.42787528835,81125.38938201951,88692.001804817,70025.28721664788,131884.13122369233,91806.82778918133,142306.0160843615,121235.79836711686,,92922.12135019683,104370.40038156975,171080.95051548604,110473.51510505367,117705.22417618553,146098.151903206,116052.20924331575,77567.81470434867,
2000-07-31,135087.98394994633,102336.19058583424,75976.63557610454,109053.47679981319,213520.46470743403,175689.72006399452,173548.49901565822,134452.49930612603,104709.31394476358,90846.22161158957,193412.10160042628,93301.31158471107,106720.93861972271,86776.18525175266,98188.20171671393,80002.07279824885,77965.28452802346,92225.9418942781,199071.89791526317,129203.06186138338,97849.37013414824,106567.64478778215,115910.90013506198,93338.27379061969,,,108326.3017455002,,105809.64659319632,110385.03646005185,131377.65685743856,,172883.3601547164,81589.80833914713,89111.92008433428,70320.77914131354,132394.01185845726,92146.62010839304,142900.53375244277,121677.01730657442,,93209.60348148226,104486.23134750198,171976.5339135223,111132.67463942168,118391.93805539428,146605.5427292229,125787.53508207439,77773.59543033711,
2000-08-31,135386.59699193083,100985.93057933109,76092.1192151834,109544.47762128036,216877.357328702,177312.6223021828,174946.02071102447,135683.57159398132,105279.14643761188,91278.75074876587,194905.98266239537,93607.24127042582,107198.77180335391,87244.0864919308,98458.76937172972,80370.20408777367,78307.91224728452,92430.72253150844,201250.24068583385,129864.80363551242,98528.80004162589,107210.8177582942,117216.3940353694,93643.93570830146,,,108804.57693988843,,106158.45211786665,111450.95996853485,132302.1515615117,,173571.84747586295,81959.31152960254,89518.63459561433,70549.53625195473,132955.86362590204,92559.84345593459,143845.47988152516,122694.74569742652,,93519.08283713445,104751.5012944385,172410.81605108213,111833.03188054687,119111.09965981099,147171.12422566922,126112.82079851949,78072.42468032746,
2000-09-30,135347.7407189847,101325.63267254848,76262.46743898057,110086.4786120765,220386.80506817476,178898.45980973862,176340.25452162838,136862.62783388892,105866.13423841108,91722.99738399591,196327.38913341705,93914.13914643461,107656.74234515196,89567.0876523697,98803.44921929912,80683.03970371552,78652.085040639,92745.56177805713,203657.45777580666,130446.95743402332,99211.98518836602,107935.5003210411,118520.33157158202,93962.12986976975,,,109320.85378284164,,106506.56600642054,112592.81075803477,133253.90834459144,,174393.32783303465,82282.62555730726,89933.3652234433,70762.15901098314,133515.412258785,92990.46144241698,145003.07909201618,123604.92103193441,,93869.10353643363,105027.4835198443,172895.32712670558,112524.75344984462,119773.38465143743,147691.70336202293,126667.8823918484,78341.68842768899,
2000-10-31,134981.82181060588,101652.22177320608,76461.66225603345,110644.32076246543,223781.34759739428,180347.72864477424,177787.87363642437,138029.79665830277,106427.28281529779,92173.51727650485,197890.24674745835,94248.23614590542,108092.82855712756,90056.0886525239,99167.97562137953,80930.44715288603,78984.63133402518,93155.54607027565,206257.09109005527,130957.29515524559,99860.23003109822,108677.84567763278,119770.02990486244,94404.7488182558,,,109780.47031805976,,106767.97819178284,113848.47737830898,134311.64923170354,,175247.96296829486,82609.4880546606,90336.74094947672,70944.4414723372,134091.71350876064,93410.14525323265,146270.72256406033,124356.45947659684,,94199.5680273618,105324.91548849425,173395.1702780325,113192.73036740659,120511.26932428293,148200.7829920799,127062.35277657144,78681.75200445198,
